year,drug,intent,nature,sex,jurisdiction,age_group,n,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
1998,Heroin,Undetermined,Underlying,All,AUS,15-64,5,12412559,0.040281782346412214,0.01307937922468918,0.09400416118950498,0.40281782346412215,0.1307937922468918,0.9400416118950499
1999,Heroin,Undetermined,Underlying,All,AUS,15-64,1,12560586,0.007961411991446895,2.013406603416404e-4,0.044358147681422364,0.07961411991446896,0.0020134066034164042,0.44358147681422366
2e3,Heroin,Undetermined,Underlying,All,AUS,15-64,5,12721200,0.039304468131937234,0.012762048101580725,0.09172343780541464,0.3930446813193723,0.12762048101580725,0.9172343780541464
2001,Heroin,Undetermined,Underlying,All,AUS,15-64,5,12895398,0.03877352215108056,0.012589651464020628,0.09048438807474114,0.38773522151080564,0.1258965146402063,0.9048438807474114
2002,Heroin,Undetermined,Underlying,All,AUS,15-64,3,13064935,0.02296222675428542,0.004735356263764299,0.06710539768072127,0.2296222675428542,0.04735356263764299,0.6710539768072127
2003,Heroin,Undetermined,Underlying,All,AUS,15-64,3,13239741,0.022659053526802374,0.004672834747139194,0.06621939650086615,0.22659053526802375,0.04672834747139194,0.6621939650086616
2004,Heroin,Undetermined,Underlying,All,AUS,15-64,7,13399641,0.05224020553983499,0.021003230858373585,0.10763479029493794,0.5224020553983498,0.21003230858373584,1.0763479029493794
2005,Heroin,Undetermined,Underlying,All,AUS,15-64,1,13581574,0.007362916846015049,1.86204977384651e-4,0.04102354622175649,0.0736291684601505,0.00186204977384651,0.4102354622175649
2006,Heroin,Undetermined,Underlying,All,AUS,15-64,3,13784515,0.021763551347290782,0.004488160939135212,0.06360235806974524,0.21763551347290783,0.04488160939135212,0.6360235806974524
2007,Heroin,Undetermined,Underlying,All,AUS,15-64,16,14044151,0.11392643101031881,0.06511876948389597,0.18500938821988827,1.139264310103188,0.6511876948389597,1.8500938821988826
2008,Heroin,Undetermined,Underlying,All,AUS,15-64,16,14343136,0.11155161604826168,0.06376135815528955,0.18115283746718516,1.1155161604826167,0.6376135815528955,1.8115283746718516
2009,Heroin,Undetermined,Underlying,All,AUS,15-64,16,14643047,0.10926687594460362,0.06245543236773241,0.17744256264271585,1.0926687594460363,0.6245543236773241,1.7744256264271585
2010,Heroin,Undetermined,Underlying,All,AUS,15-64,15,14846377,0.10103475076781358,0.05654837851759306,0.16664146165929347,1.0103475076781359,0.5654837851759307,1.6664146165929348
2011,Heroin,Undetermined,Underlying,All,AUS,15-64,14,15018500,0.0932183640177115,0.050963370483444057,0.15640454248718888,0.932183640177115,0.5096337048344406,1.564045424871889
2012,Heroin,Undetermined,Underlying,All,AUS,15-64,17,15224030,0.11166557081140802,0.06504930097955357,0.1787873963746329,1.1166557081140802,0.6504930097955357,1.787873963746329
2013,Heroin,Undetermined,Underlying,All,AUS,15-64,6,15435760,0.038870777985664455,0.014264870021645776,0.08460534827066217,0.38870777985664456,0.14264870021645776,0.8460534827066217
2014,Heroin,Undetermined,Underlying,All,AUS,15-64,6,15618521,0.03841592939561947,0.014097948844536497,0.0836153340397824,0.3841592939561947,0.14097948844536498,0.836153340397824
2015,Heroin,Undetermined,Underlying,All,AUS,15-64,8,15791656,0.05065966482552558,0.021871242772233963,0.09981973455610596,0.5065966482552557,0.21871242772233962,0.9981973455610595
2016,Heroin,Undetermined,Underlying,All,AUS,15-64,3,15964383,0.01879183179205861,0.0038753218203248707,0.05491772897504239,0.1879183179205861,0.03875321820324871,0.5491772897504239
1997,Other opioids,Undetermined,Underlying,All,AUS,15-64,34,12277629,0.2769264326198487,0.19177960132961655,0.38697700641185384,2.7692643261984866,1.9177960132961656,3.8697700641185384
1998,Other opioids,Undetermined,Underlying,All,AUS,15-64,23,12412559,0.18529619879349618,0.11746198320858736,0.2780353969561816,1.852961987934962,1.1746198320858736,2.7803539695618165
1999,Other opioids,Undetermined,Underlying,All,AUS,15-64,40,12560586,0.3184564796578758,0.2275099775979695,0.43364730984922106,3.1845647965787585,2.275099775979695,4.336473098492211
2e3,Other opioids,Undetermined,Underlying,All,AUS,15-64,3,12721200,0.023582680879162345,0.004863308633456232,0.06891862865514056,0.23582680879162346,0.04863308633456232,0.6891862865514056
2001,Other opioids,Undetermined,Underlying,All,AUS,15-64,8,12895398,0.0620376354417289,0.026783441825650133,0.12223887235751375,0.620376354417289,0.26783441825650134,1.2223887235751376
2002,Other opioids,Undetermined,Underlying,All,AUS,15-64,2,13064935,0.015308151169523615,0.0018538449614891909,0.055298346296093114,0.15308151169523615,0.01853844961489191,0.5529834629609311
2003,Other opioids,Undetermined,Underlying,All,AUS,15-64,6,13239741,0.04531810705360475,0.01663092277147408,0.09863847416821493,0.4531810705360475,0.16630922771474077,0.9863847416821493
2004,Other opioids,Undetermined,Underlying,All,AUS,15-64,9,13399641,0.06716597855121641,0.03071262086521011,0.12750195746960297,0.6716597855121641,0.3071262086521011,1.2750195746960298
2005,Other opioids,Undetermined,Underlying,All,AUS,15-64,13,13581574,0.09571791899819565,0.05096575453999899,0.163680439764616,0.9571791899819565,0.5096575453999899,1.63680439764616
2006,Other opioids,Undetermined,Underlying,All,AUS,15-64,27,13784515,0.19587196212561706,0.12908085609555336,0.28498357103020033,1.9587196212561706,1.2908085609555338,2.8498357103020036
