nature,intent,drug,sex,state,age_group,n,year,pop
All,Accidental,Amphetamines,All,AUS,55-64,0,1997,1572718
All,Accidental,Amphetamines,All,AUS,65-74,0,1997,1293537
All,Accidental,Amphetamines,All,AUS,75-84,0,1997,731247
All,Accidental,Amphetamines,All,AUS,15-54,24,1997,10704911
All,Accidental,Amphetamines,All,AUS,15-64,24,1997,12277629
All,Accidental,Amphetamines,All,AUS,Allages,24,1997,18423037
All,Accidental,Amphetamines,All,AUS,15-24,16,1998,2592341
All,Accidental,Amphetamines,All,AUS,25-34,18,1998,2860327
All,Accidental,Amphetamines,All,AUS,35-44,9,1998,2881490
All,Accidental,Amphetamines,All,AUS,45-54,4,1998,2460560
All,Accidental,Amphetamines,All,AUS,55-64,0,1998,1617841
All,Accidental,Amphetamines,All,AUS,65-74,0,1998,1296598
All,Accidental,Amphetamines,All,AUS,75-84,0,1998,758134
All,Accidental,Amphetamines,All,AUS,15-54,46,1998,10794718
All,Accidental,Amphetamines,All,AUS,15-64,46,1998,12412559
All,Accidental,Amphetamines,All,AUS,Allages,46,1998,18607584
All,Accidental,Amphetamines,All,AUS,15-24,19,1999,2583566
All,Accidental,Amphetamines,All,AUS,25-34,33,1999,2857016
All,Accidental,Amphetamines,All,AUS,35-44,15,1999,2913704
All,Accidental,Amphetamines,All,AUS,45-54,1,1999,2525485
All,Accidental,Amphetamines,All,AUS,55-64,0,1999,1680815
All,Accidental,Amphetamines,All,AUS,65-74,0,1999,1300015
All,Accidental,Amphetamines,All,AUS,75-84,0,1999,784073
All,Accidental,Amphetamines,All,AUS,15-54,70,1999,10879771
All,Accidental,Amphetamines,All,AUS,15-64,70,1999,12560586
All,Accidental,Amphetamines,All,AUS,Allages,70,1999,18812264
All,Accidental,Amphetamines,All,AUS,15-24,24,2e3,2595640
All,Accidental,Amphetamines,All,AUS,25-34,47,2e3,2855634
All,Accidental,Amphetamines,All,AUS,35-44,18,2e3,2936641
All,Accidental,Amphetamines,All,AUS,45-54,6,2e3,2583189
All,Accidental,Amphetamines,All,AUS,55-64,0,2e3,1750096
All,Accidental,Amphetamines,All,AUS,65-74,0,2e3,1302006
All,Accidental,Amphetamines,All,AUS,75-84,0,2e3,811132
All,Accidental,Amphetamines,All,AUS,15-54,95,2e3,10971104
All,Accidental,Amphetamines,All,AUS,15-64,95,2e3,12721200
All,Accidental,Amphetamines,All,AUS,Allages,95,2e3,19028802
All,Accidental,Amphetamines,All,AUS,15-24,11,2001,2630115
All,Accidental,Amphetamines,All,AUS,25-34,31,2001,2851409
All,Accidental,Amphetamines,All,AUS,35-44,9,2001,2953197
All,Accidental,Amphetamines,All,AUS,45-54,0,2001,2642230
All,Accidental,Amphetamines,All,AUS,55-64,3,2001,1818447
All,Accidental,Amphetamines,All,AUS,65-74,0,2001,1311961
All,Accidental,Amphetamines,All,AUS,75-84,0,2001,843667
All,Accidental,Amphetamines,All,AUS,15-54,51,2001,11076951
All,Accidental,Amphetamines,All,AUS,15-64,53,2001,12895398
All,Accidental,Amphetamines,All,AUS,Allages,53,2001,19274701
All,Accidental,Amphetamines,All,AUS,15-24,10,2002,2667594
All,Accidental,Amphetamines,All,AUS,25-34,26,2002,2854494
All,Accidental,Amphetamines,All,AUS,35-44,11,2002,2966659
All,Accidental,Amphetamines,All,AUS,45-54,8,2002,2659000
All,Accidental,Amphetamines,All,AUS,55-64,1,2002,1917188
All,Accidental,Amphetamines,All,AUS,65-74,0,2002,1324605
All,Accidental,Amphetamines,All,AUS,75-84,0,2002,868512
All,Accidental,Amphetamines,All,AUS,15-54,55,2002,11147747
All,Accidental,Amphetamines,All,AUS,15-64,56,2002,13064935
All,Accidental,Amphetamines,All,AUS,Allages,56,2002,19495210
All,Accidental,Amphetamines,All,AUS,15-24,10,2003,2710380
All,Accidental,Amphetamines,All,AUS,25-34,9,2003,2858260
All,Accidental,Amphetamines,All,AUS,35-44,11,2003,2972788
All,Accidental,Amphetamines,All,AUS,45-54,1,2003,2693054
All,Accidental,Amphetamines,All,AUS,55-64,0,2003,2005259
All,Accidental,Amphetamines,All,AUS,65-74,0,2003,1336825
All,Accidental,Amphetamines,All,AUS,75-84,0,2003,895039
All,Accidental,Amphetamines,All,AUS,15-54,32,2003,11234482
All,Accidental,Amphetamines,All,AUS,15-64,32,2003,13239741
All,Accidental,Amphetamines,All,AUS,Allages,32,2003,19720737
All,Accidental,Amphetamines,All,AUS,15-24,15,2004,2748615
All,Accidental,Amphetamines,All,AUS,25-34,24,2004,2852818
All,Accidental,Amphetamines,All,AUS,35-44,13,2004,2981621
All,Accidental,Amphetamines,All,AUS,45-54,6,2004,2734333
All,Accidental,Amphetamines,All,AUS,55-64,3,2004,2082254
All,Accidental,Amphetamines,All,AUS,65-74,0,2004,1353404
All,Accidental,Amphetamines,All,AUS,75-84,0,2004,919175
All,Accidental,Amphetamines,All,AUS,15-54,58,2004,11317387
All,Accidental,Amphetamines,All,AUS,15-64,59,2004,13399641
All,Accidental,Amphetamines,All,AUS,Allages,59,2004,19932722
All,Accidental,Amphetamines,All,AUS,15-24,10,2005,2794180
All,Accidental,Amphetamines,All,AUS,25-34,25,2005,2853071
All,Accidental,Amphetamines,All,AUS,35-44,24,2005,2996044
All,Accidental,Amphetamines,All,AUS,45-54,9,2005,2776548
All,Accidental,Amphetamines,All,AUS,55-64,0,2005,2161731
All,Accidental,Amphetamines,All,AUS,65-74,2,2005,1373971
All,Accidental,Amphetamines,All,AUS,75-84,0,2005,935717
All,Accidental,Amphetamines,All,AUS,15-54,68,2005,11419843
All,Accidental,Amphetamines,All,AUS,15-64,68,2005,13581574
All,Accidental,Amphetamines,All,AUS,Allages,69,2005,20176844
All,Accidental,Amphetamines,All,AUS,15-24,16,2006,2841117
All,Accidental,Amphetamines,All,AUS,25-34,33,2006,2855732
All,Accidental,Amphetamines,All,AUS,35-44,20,2006,3025272
All,Accidental,Amphetamines,All,AUS,45-54,6,2006,2825567
All,Accidental,Amphetamines,All,AUS,55-64,2,2006,2236827
All,Accidental,Amphetamines,All,AUS,65-74,0,2006,1397253
All,Accidental,Amphetamines,All,AUS,75-84,0,2006,948119
All,Accidental,Amphetamines,All,AUS,15-54,75,2006,11547688
All,Accidental,Amphetamines,All,AUS,15-64,76,2006,13784515
All,Accidental,Amphetamines,All,AUS,Allages,76,2006,20450966
All,Accidental,Amphetamines,All,AUS,15-24,17,2007,2903862
All,Accidental,Amphetamines,All,AUS,25-34,25,2007,2888102
All,Accidental,Amphetamines,All,AUS,35-44,23,2007,3059917
All,Accidental,Amphetamines,All,AUS,45-54,9,2007,2882908
All,Accidental,Amphetamines,All,AUS,55-64,2,2007,2309362
All,Accidental,Amphetamines,All,AUS,65-74,0,2007,1440885
All,Accidental,Amphetamines,All,AUS,75-84,0,2007,958589
All,Accidental,Amphetamines,All,AUS,15-54,74,2007,11734789
All,Accidental,Amphetamines,All,AUS,15-64,78,2007,14044151
All,Accidental,Amphetamines,All,AUS,Allages,78,2007,20827622
All,Accidental,Amphetamines,All,AUS,15-24,12,2008,2973974
All,Accidental,Amphetamines,All,AUS,25-34,39,2008,2958352
All,Accidental,Amphetamines,All,AUS,35-44,21,2008,3088962
All,Accidental,Amphetamines,All,AUS,45-54,9,2008,2935638
All,Accidental,Amphetamines,All,AUS,55-64,1,2008,2386210
All,Accidental,Amphetamines,All,AUS,65-74,0,2008,1485037
All,Accidental,Amphetamines,All,AUS,75-84,0,2008,967574
All,Accidental,Amphetamines,All,AUS,15-54,81,2008,11956926
All,Accidental,Amphetamines,All,AUS,15-64,84,2008,14343136
All,Accidental,Amphetamines,All,AUS,Allages,84,2008,21249199
All,Accidental,Amphetamines,All,AUS,15-24,13,2009,3043814
All,Accidental,Amphetamines,All,AUS,25-34,36,2009,3053686
All,Accidental,Amphetamines,All,AUS,35-44,24,2009,3116343
All,Accidental,Amphetamines,All,AUS,45-54,13,2009,2984512
All,Accidental,Amphetamines,All,AUS,55-64,4,2009,2444692
All,Accidental,Amphetamines,All,AUS,65-74,0,2009,1546161
All,Accidental,Amphetamines,All,AUS,75-84,0,2009,976176
All,Accidental,Amphetamines,All,AUS,15-54,86,2009,12198355
All,Accidental,Amphetamines,All,AUS,15-64,88,2009,14643047
All,Accidental,Amphetamines,All,AUS,Allages,88,2009,21691653
All,Accidental,Amphetamines,All,AUS,15-24,11,2010,3065102
All,Accidental,Amphetamines,All,AUS,25-34,28,2010,3125453
All,Accidental,Amphetamines,All,AUS,35-44,29,2010,3137648
All,Accidental,Amphetamines,All,AUS,45-54,16,2010,3015387
All,Accidental,Amphetamines,All,AUS,55-64,5,2010,2502787
All,Accidental,Amphetamines,All,AUS,65-74,0,2010,1613289
All,Accidental,Amphetamines,All,AUS,75-84,0,2010,986792
All,Accidental,Amphetamines,All,AUS,15-54,84,2010,12343590
All,Accidental,Amphetamines,All,AUS,15-64,89,2010,14846377
All,Accidental,Amphetamines,All,AUS,Allages,89,2010,22031750
All,Accidental,Amphetamines,All,AUS,15-24,6,2011,3065122
All,Accidental,Amphetamines,All,AUS,25-34,37,2011,3194331
All,Accidental,Amphetamines,All,AUS,35-44,26,2011,3161154
All,Accidental,Amphetamines,All,AUS,45-54,23,2011,3035900
All,Accidental,Amphetamines,All,AUS,55-64,2,2011,2561993
All,Accidental,Amphetamines,All,AUS,65-74,3,2011,1681931
All,Accidental,Amphetamines,All,AUS,75-84,0,2011,1002373
All,Accidental,Amphetamines,All,AUS,15-54,92,2011,12456507
All,Accidental,Amphetamines,All,AUS,15-64,93,2011,15018500
All,Accidental,Amphetamines,All,AUS,Allages,95,2011,22340024
All,Accidental,Amphetamines,All,AUS,15-24,16,2012,3092512
All,Accidental,Amphetamines,All,AUS,25-34,37,2012,3290393
All,Accidental,Amphetamines,All,AUS,35-44,44,2012,3192465
All,Accidental,Amphetamines,All,AUS,45-54,30,2012,3058142
All,Accidental,Amphetamines,All,AUS,55-64,2,2012,2590518
All,Accidental,Amphetamines,All,AUS,65-74,0,2012,1776418
All,Accidental,Amphetamines,All,AUS,75-84,0,2012,1017201
All,Accidental,Amphetamines,All,AUS,15-54,127,2012,12633512
All,Accidental,Amphetamines,All,AUS,15-64,130,2012,15224030
All,Accidental,Amphetamines,All,AUS,Allages,130,2012,22742475
All,Accidental,Amphetamines,All,AUS,15-24,15,2013,3118366
All,Accidental,Amphetamines,All,AUS,25-34,51,2013,3388170
All,Accidental,Amphetamines,All,AUS,35-44,57,2013,3214188
All,Accidental,Amphetamines,All,AUS,45-54,22,2013,3080735
All,Accidental,Amphetamines,All,AUS,55-64,1,2013,2634301
All,Accidental,Amphetamines,All,AUS,65-74,0,2013,1859229
All,Accidental,Amphetamines,All,AUS,75-84,0,2013,1034415
All,Accidental,Amphetamines,All,AUS,15-54,145,2013,12801459
All,Accidental,Amphetamines,All,AUS,15-64,149,2013,15435760
All,Accidental,Amphetamines,All,AUS,Allages,149,2013,23145901
All,Accidental,Amphetamines,All,AUS,15-24,16,2014,3141184
All,Accidental,Amphetamines,All,AUS,25-34,65,2014,3467570
All,Accidental,Amphetamines,All,AUS,35-44,86,2014,3221600
All,Accidental,Amphetamines,All,AUS,45-54,50,2014,3104578
All,Accidental,Amphetamines,All,AUS,55-64,9,2014,2683589
All,Accidental,Amphetamines,All,AUS,65-74,3,2014,1933242
All,Accidental,Amphetamines,All,AUS,75-84,0,2014,1056839
All,Accidental,Amphetamines,All,AUS,15-54,217,2014,12934932
All,Accidental,Amphetamines,All,AUS,15-64,226,2014,15618521
All,Accidental,Amphetamines,All,AUS,Allages,227,2014,23504138
All,Accidental,Amphetamines,All,AUS,15-24,18,2015,3154845
All,Accidental,Amphetamines,All,AUS,25-34,67,2015,3547607
All,Accidental,Amphetamines,All,AUS,35-44,102,2015,3231643
All,Accidental,Amphetamines,All,AUS,45-54,59,2015,3125999
All,Accidental,Amphetamines,All,AUS,55-64,12,2015,2731562
All,Accidental,Amphetamines,All,AUS,65-74,0,2015,2007971
All,Accidental,Amphetamines,All,AUS,75-84,0,2015,1080275
All,Accidental,Amphetamines,All,AUS,15-54,246,2015,13060094
All,Accidental,Amphetamines,All,AUS,15-64,258,2015,15791656
All,Accidental,Amphetamines,All,AUS,Allages,258,2015,23850784
All,Accidental,Amphetamines,All,AUS,15-24,23,2016,3172488
All,Accidental,Amphetamines,All,AUS,25-34,84,2016,3614747
All,Accidental,Amphetamines,All,AUS,35-44,132,2016,3236348
All,Accidental,Amphetamines,All,AUS,45-54,75,2016,3157138
All,Accidental,Amphetamines,All,AUS,55-64,23,2016,2783662
All,Accidental,Amphetamines,All,AUS,65-74,4,2016,2084469
All,Accidental,Amphetamines,All,AUS,75-84,0,2016,1106311
All,Accidental,Amphetamines,All,AUS,15-54,314,2016,13180721
All,Accidental,Amphetamines,All,AUS,15-64,337,2016,15964383
All,Accidental,Amphetamines,All,AUS,Allages,339,2016,24210809
All,All,Amphetamines,All,AUS,15-24,7,1997,2619372
All,All,Amphetamines,All,AUS,25-34,15,1997,2863015
All,All,Amphetamines,All,AUS,35-44,7,1997,2845815
