nature,intent,drug,sex,state,age_group,n,year,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
Underlying,All,Opioids,Female,AUS,Allages,266,2011,11221790,2.3703883248572644,2.0940633097954904,2.6730357374085028,23.703883248572645,20.940633097954905,26.730357374085028
Underlying,All,Opioids,Female,AUS,15-64,282,2012,7600965,3.710055236407482,3.2896320361423292,4.169318294994956,37.10055236407482,32.89632036142329,41.69318294994956
Underlying,All,Opioids,Female,AUS,Allages,310,2012,11426100,2.7130867049999563,2.4194429100117225,3.032544177784968,27.130867049999562,24.194429100117226,30.325441777849683
Underlying,All,Opioids,Female,AUS,15-64,274,2013,7715158,3.5514502749003976,3.143346251159797,3.997829578906382,35.514502749003974,31.433462511597973,39.97829578906382
Underlying,All,Opioids,Female,AUS,Allages,303,2013,11633201,2.6046141556395352,2.3195671824746262,2.9150206565968566,26.04614155639535,23.195671824746263,29.150206565968567
Underlying,All,Opioids,Female,AUS,15-64,356,2014,7820680,4.552033838489748,4.0914027999767075,5.050331876756875,45.52033838489748,40.91402799976707,50.50331876756875
Underlying,All,Opioids,Female,AUS,Allages,382,2014,11824746,3.2305133657839247,2.9146387108655825,3.5712856711408216,32.30513365783925,29.146387108655823,35.712856711408214
Underlying,All,Opioids,Female,AUS,15-64,339,2015,7920702,4.279923673431976,3.836396060917844,4.7606586858289,42.79923673431976,38.363960609178434,47.606586858289
Underlying,All,Opioids,Female,AUS,Allages,363,2015,12009957,3.0224920871906535,2.719523946680158,3.349984412018688,30.224920871906534,27.19523946680158,33.49984412018688
Underlying,All,Opioids,Female,AUS,15-64,331,2016,8016946,4.128754266275462,3.695895658247942,4.598381472048174,41.28754266275462,36.95895658247942,45.98381472048174
Underlying,All,Opioids,Female,AUS,Allages,365,2016,12198963,2.992057603584829,2.692941217930943,3.3153170689654963,29.920576035848292,26.92941217930943,33.153170689654964
Underlying,Accidental,Heroin,Male,AUS,15-64,213,1997,6175835,3.4489263395152236,3.001276232658826,3.944517344362525,34.489263395152236,30.01276232658826,39.44517344362525
Underlying,Accidental,Heroin,Male,AUS,Allages,213,1997,9156177,2.326298410351831,2.024358725516394,2.6605741974430086,23.262984103518313,20.243587255163938,26.605741974430085
Underlying,Accidental,Heroin,Male,AUS,15-64,281,1998,6237716,4.50485402028563,3.9934840678555004,5.063552811750896,45.0485402028563,39.934840678555005,50.63552811750896
Underlying,Accidental,Heroin,Male,AUS,Allages,281,1998,9243143,3.040091449412824,2.6949944911387114,3.4171281771474873,30.40091449412824,26.949944911387114,34.171281771474874
Underlying,Accidental,Heroin,Male,AUS,15-64,345,1999,6305878,5.471085866234646,4.908935274230412,6.079965030394678,54.71085866234646,49.08935274230412,60.799650303946784
Underlying,Accidental,Heroin,Male,AUS,Allages,345,1999,9340109,3.6937470429948944,3.3142168843204636,4.104825513913717,36.937470429948945,33.14216884320464,41.04825513913717
Underlying,Accidental,Heroin,Male,AUS,15-64,317,2e3,6380886,4.967962129397078,4.4360676906959995,5.546070969470841,49.67962129397078,44.360676906959995,55.460709694708406
Underlying,Accidental,Heroin,Male,AUS,Allages,317,2e3,9443465,3.356818710081522,2.9974212031933654,3.747442978197401,33.56818710081522,29.974212031933654,37.47442978197401
Underlying,Accidental,Heroin,Male,AUS,15-64,79,2001,6461886,1.2225532917170001,0.9679069510977946,1.5236662321633128,12.225532917170002,9.679069510977946,15.236662321633128
Underlying,Accidental,Heroin,Male,AUS,Allages,79,2001,9561826,0.8262020245923739,0.6541119213632963,1.0296942753705056,8.26202024592374,6.541119213632963,10.296942753705057
Underlying,Accidental,Heroin,Male,AUS,15-64,71,2002,6547837,1.0843275420570182,0.8468687949665878,1.3677320101656254,10.843275420570182,8.468687949665878,13.677320101656253
